replication,monitoring_dates,ncv_epoch,trajectory_id,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason
18,252,1000,rep18_m252,1.112999825636507e-06,15.255247839000049,15.255248951999874,0.0001373090001379751,0.39524727100001655,0.3400386979999439,NA,2.040817054560223,NA,proposed_marginal_not_below_baseline_no_finite_break_even
19,12,25,rep19_m12,8.919998890632996e-07,0.2705071420000422,0.2705080339999313,0.00014035500021236658,0.02664993400003368,0.02347055699988232,0.047228235000147833,0.04704813973968411,NA,proposed_marginal_not_below_baseline_no_finite_break_even
19,12,1000,rep19_m12,8.919998890632996e-07,10.751366367999935,10.751367259999824,0.00014035500021236658,0.026710147000130746,0.023458725000182312,0.0014650040000105946,0.0012339289350095897,426,
19,252,25,rep19_m252,9.010000212583691e-07,0.40956447700000354,0.4095653780000248,0.00013489299999491777,0.39487434200009375,0.34063794400003644,NA,2.2009843858440754,NA,proposed_marginal_not_below_baseline_no_finite_break_even
19,252,1000,rep19_m252,9.010000212583691e-07,15.129592903000002,15.129593804000024,0.00013489299999491777,0.3946209149999049,0.3379156159999184,NA,2.675156282249594,NA,proposed_marginal_not_below_baseline_no_finite_break_even
20,12,25,rep20_m12,7.720000212430023e-07,0.27308063700002094,0.2730814090000422,0.00013118600008965586,0.02667327800008934,0.02441492399998424,0.04025783399993088,0.04194044474565292,NA,proposed_marginal_not_below_baseline_no_finite_break_even
20,12,1000,rep20_m12,7.720000212430023e-07,10.933481549000135,10.933482321000156,0.00013118600008965586,0.02669050100007553,0.024406638000073144,0.0013761170000634593,0.0011612678360434802,432,
20,252,25,rep20_m252,8.50999867907376e-07,0.40474673600010647,0.4047475869999744,0.00013627599992105388,0.3943439720001152,0.34097388100008175,NA,1.9646846828448512,NA,proposed_marginal_not_below_baseline_no_finite_break_even
20,252,1000,rep20_m252,8.50999867907376e-07,15.26500020100002,15.265001051999889,0.00013627599992105388,0.39513169299993933,0.3400622490000842,NA,1.7575301190171753,NA,proposed_marginal_not_below_baseline_no_finite_break_even
21,12,25,rep21_m12,8.919998890632996e-07,0.272033183999838,0.27203407599972707,0.0001320579999628535,0.02665900000010879,0.026465637000001152,0.03557423799998105,0.03874039944060169,NA,proposed_marginal_not_below_baseline_no_finite_break_even
21,12,1000,rep21_m12,8.919998890632996e-07,10.82564589399999,10.82564678599988,0.0001320579999628535,0.026811125999984142,0.02415036500019596,0.0016567449999911332,0.001459648060611844,431,
21,252,25,rep21_m252,1.2829998468077974e-06,0.3982776709999598,0.3982789539998066,0.00013397199995779374,0.3945818740000959,0.3408792909999647,NA,1.7737653907183164,NA,proposed_marginal_not_below_baseline_no_finite_break_even
21,252,1000,rep21_m252,1.2829998468077974e-06,15.254261705999852,15.254262988999699,0.00013397199995779374,0.39418873600016013,0.3394129050000174,NA,1.6819606507275862,NA,proposed_marginal_not_below_baseline_no_finite_break_even
22,12,25,rep22_m12,7.819999154889956e-07,0.272380677000001,0.2723814589999165,0.00012792100005754037,0.02663128900007905,0.024266774000125224,0.04329732600012903,0.04522453069759337,NA,proposed_marginal_not_below_baseline_no_finite_break_even
22,12,1000,rep22_m12,7.819999154889956e-07,10.79176616399991,10.791766945999825,0.00012792100005754037,0.02662241300004098,0.023470828999961668,0.001407135000135895,0.001066045053178259,428,
22,252,25,rep22_m252,1.0710000424296595e-06,0.397434573000055,0.39743564400009745,0.00017260399999941,0.423065435999888,0.3584581000000071,NA,2.125298074900042,NA,proposed_marginal_not_below_baseline_no_finite_break_even
22,252,1000,rep22_m252,1.0710000424296595e-06,15.246312189000037,15.246313260000079,0.00017260399999941,0.3935932849999517,0.34113335500001085,NA,2.20211814653157,NA,proposed_marginal_not_below_baseline_no_finite_break_even
